unique monsters drop corrupted items,unqiues monsters drop corrupted items
area contains a smuggler's cache,contain smuggler's cache
map bosses have 20% increased life quality bonus of your maps also applies to rarity of items found,quality bonus applies to rarity
rerolling favours at ritual altars in your maps has no cost the first 1 time,ritual rerolls
your maps contain an additional abyss your maps can contain abysses,contain abyss
your maps contain a blight encounter,contain blight
your maps contain niko,contain niko
your maps contain an additional gloom shrine 50% increased duration of shrine effects on players in your maps,gloom shrine
the first 3 possessed monsters drop an additional polished scarab your maps contain an additional tormented betrayer,polished scarab from possessed
area contains metamorph monsters,contain metamorph
your maps contain alva,contain alva
25% increased magic pack size,25% magic pack size
monsters imprisoned by essences have a 50% chance to contain a remnant of corruption your maps contain an additional essence,remnant of corruption 1 essence
your maps contain a mirror of delirium,contain delirium
your maps contain an additional legion encounter,contain legion
your maps contain a mirror of delirium,contain delirium
non-unique heist contracts found in your maps have an additional implicit modifier,heist contracts have additional mod
your maps contain jun,contain jun
your maps contain einhar,contain einhar
area contains metamorph monsters,contain metamorph
breaches in your maps belong to xoph breaches in your maps contain 3 additional clasped hands,xoph breaches
legion monsters in your maps have 100% more life splinters and emblems dropped by legion monsters in your maps are duplicated,legion duplicate
players and their minions cannot take reflected damage your maps contain 5 additional packs with mirrored rare monsters,cannot take reflected
your maps contain a blight encounter,contain blight
30% increased magic pack size,magic pack size
unique monsters drop corrupted items,unqiues monsters drop corrupted items
breaches in your maps belong to tul breaches in your maps contain 3 additional clasped hands,tul breaches
oils found in your maps are 1 tier higher cost of building and upgrading blight towers in your maps is doubled,oils found are 1 tier higher
your maps contain jun,contain jun
your maps contain an additional legion encounter,contain legion
map bosses deal 20% increased damage your maps have 20% quality,maps have 20% quality
legion monsters in your maps have 100% more life splinters and emblems dropped by legion monsters in your maps are duplicated,legion duplicated
maps found in your maps are corrupted with 8 modifiers,corrupted maps drop with 8 mods
breaches in your maps belong to chayula breaches in your maps contain 3 additional clasped hands,chayula breaches
create a copy of beasts captured in your maps,beasts duplicated
map bosses are accompanied by a mysterious harbinger map bosses drop additional currency shards harbingers in your maps drop additional currency shards,contain mysterious harbingers
catalysts dropped by metamorphs in your maps are duplicated metamorphs in your maps have 100% more life,metamorph duplicated
your maps contain 100% increased number of runic monster markers,runic monster markers
players and their minions cannot take reflected damage your maps contain 4 additional packs with mirrored rare monsters,cannot take reflected
your magic maps contain 4 additional packs of magic monsters your normal maps contain 4 additional packs of normal monsters your rare maps contain 4 additional rare monster packs,additional 4 packs by rarity
lifeforce dropped by harvest monsters in your maps is duplicated harvest monsters in your maps have 100% more life harvests in your maps contain at least one crop of blue plants,blue harvest
your maps contain hunted traitors,hunted traitors
breaches in your maps belong to chayula breaches in your maps contain 3 additional clasped hands,chayula breaches
100% increased intelligence gained from immortal syndicate targets encountered in your maps,100% increased betrayal intelligence
the first 3 possessed monsters drop an additional map your maps contain an additional tormented heretic,map from possessed
100% increased intelligence gained from immortal syndicate targets encountered in your maps,100% increased betrayal intelligence
players and monsters take 14% increased chaos damage your maps contain 8 additional packs of monsters that deal chaos damage,additional chaos packs
players and monsters take 14% increased cold damage your maps contain 8 additional packs of monsters that deal cold damage,additional cold packs
your maps contain 35 additional clusters of mysterious barrels,mysterious barrels
your maps contain 8 additional packs of monsters that convert when killed,additional convert packs
monsters imprisoned by essences have a 50% chance to contain a remnant of corruption your maps contain 2 additional essences,remnant of corruption 2 essence
the first 3 possessed monsters drop an additional gilded scarab your maps contain an additional tormented betrayer,gilded scarab from possessed
players' vaal skills do not apply soul gain prevention your maps contain 6 additional packs of corrupted vaal monsters,avoid soul gain prevention
breaches in your maps belong to uul-netol breaches in your maps contain 3 additional clasped hands,uul-netol breaches
your maps contain einhar,contain einhar
rogue exiles deal 20% increased damage rogue exiles drop 2 additional jewels rogue exiles in your maps have 20% increased life your maps are inhabited by 2 additional rogue exiles,additional rogue exiles
oils found in your maps are 1 tier higher cost of building and upgrading blight towers in your maps is doubled,oils found are 1 tier higher
delirium reward bars fill 100% faster in your maps,delirium bar fills 100% faster
final map boss in each map drops an additional elder guardian map (tier 14+) map bosses have 200% more life map bosses deal 100% more damage,boss drops elder guardian map
your maps contain the sacred grove,contain sacred grove
area contains a smuggler's cache,contain smuggler's cache
lifeforce dropped by harvest monsters in your maps is duplicated harvest monsters in your maps have 100% more life harvests in your maps contain at least one crop of purple plants,purple harvest
slaying enemies close together can attract monsters from beyond this realm 25% increased beyond demon pack size in your maps,contain 25% beyond
your maps contain 2 additional strongboxes strongboxes in your maps are corrupted strongboxes in your maps are at least rare,additional 2 corrupted strongboxes
your maps contain ritual altars,contain ritual
map bosses are accompanied by bodyguards an additional map drops on completing your maps,boss bodyguards
the first 3 possessed monsters drop an additional map your maps contain an additional tormented heretic,map from possessed
your maps contain hunted traitors,hunted traitors
map bosses of your corrupted maps drop 3 additional vaal items items found in your maps have 5% chance to be corrupted,boss drops vaal items
players and monsters take 14% increased physical damage your maps contain 8 additional packs of monsters that deal physical damage,additional phys packs
map bosses are accompanied by bodyguards 2 additional maps drop on completing your maps,boss bodyguards
your maps contain an additional shrine your maps contain an additional gloom shrine 50% increased duration of shrine effects on players in your maps,gloom shrine
breaches in your maps belong to esh breaches in your maps contain 3 additional clasped hands,esh breaches
your maps contain an additional shrine your maps contain an additional resonating shrine 50% increased duration of shrine effects on players in your maps,resonating shrine
your maps contain ritual altars,contain ritual
25% increased pack size in your unidentified maps,unidentified 25% pack size
breaches in your maps belong to xoph breaches in your maps contain 3 additional clasped hands,xoph breaches
breaches in your maps belong to tul breaches in your maps contain 3 additional clasped hands,tul breaches
players and monsters take 12% increased chaos damage your maps contain 6 additional packs of monsters that deal chaos damage,additional chaos packs
player's life and mana recovery from flasks are instant your maps contain 6 additional packs of monsters that heal,additional heal packs
players and monsters take 12% increased lightning damage your maps contain 6 additional packs of monsters that deal lightning damage,additional lightning packs
players gain an additional vaal soul on kill your maps contain 6 additional packs of corrupted vaal monsters,additional corrupted packs
map bosses of your corrupted maps drop 2 additional vaal items items found in your maps have 5% chance to be corrupted,boss drops vaal items
your maps contain 6 additional packs of corrupted vaal monsters your maps have a 50% chance to contain gifts of the sacrificed per sacrifice fragment used your maps have a 50% chance to contain gifts of the red queen per mortal fragment used,gifts of the red queen
players and monsters take 12% increased fire damage your maps contain 6 additional packs of monsters that deal fire damage,additional fire packs
your maps contain 25 additional clusters of mysterious barrels,mysterious barrels
players and monsters take 12% increased cold damage your maps contain 6 additional packs of monsters that deal cold damage,additional cold packs
your maps contain 6 additional packs of corrupted vaal monsters items dropped by corrupted vaal monsters in your maps have 25% chance to be corrupted,additional vaal packs
players and monsters take 12% increased physical damage your maps contain 6 additional packs of monsters that deal physical damage,additional phys packs
map bosses drop 1 additional unique item,boss drops unique item
the first 3 possessed monsters drop an additional rusted scarab your maps contain an additional tormented betrayer,rusted scarab from possessed
your maps contain 6 additional packs of monsters that convert when killed,additional convert packs
breaches in your maps belong to esh breaches in your maps contain 3 additional clasped hands,esh breaches
player's life and mana recovery from flasks are instant your maps contain 8 additional packs of monsters that heal,additional heal packs
players gain an additional vaal soul on kill your maps contain 8 additional packs of corrupted vaal monsters,additional vaal packs
your maps can contain breaches your maps contain 2 additional breaches,contain 2 breaches
catalysts dropped by metamorphs in your maps are duplicated metamorphs in your maps have 100% more life,metamorph duplicated
non-unique heist contracts found in your maps have an additional implicit modifier,heist contracts have additional mod
strongbox monsters are enraged strongbox monsters have 500% increased item quantity your maps contain an additional strongbox,enraged strongboxes
final map boss in each map drops an additional shaper guardian map (tier 14+) map bosses have 200% more life map bosses deal 100% more damage,boss drops shaper guardian map
your maps contain alva,contain alva
20% increased pack size in your unidentified maps,unidentified 20% pack size
your maps are alluring,alluring maps
slaying enemies close together can attract monsters from beyond this realm 35% increased beyond demon pack size in your maps,contain 35% beyond
the first 3 possessed monsters drop an additional unique item your maps contain an additional tormented graverobber,unique item from possessed
your maps contain 8 additional packs of corrupted vaal monsters items dropped by corrupted vaal monsters in your maps have 30% chance to be corrupted,additional vaal packs
your maps can contain breaches your maps contain an additional breach,contain breaches
strongbox monsters are enraged strongbox monsters have 600% increased item quantity your maps contain an additional strongbox,enraged strongboxes
your maps contain 2 additional abysses your maps can contain abysses,contain 2 abyss
rerolling favours at ritual altars in your maps has no cost the first 1 time,ritual rerolls
breaches in your maps belong to uul-netol breaches in your maps contain 3 additional clasped hands,uul-netol breaches
lifeforce dropped by harvest monsters in your maps is duplicated harvest monsters in your maps have 100% more life harvests in your maps contain at least one crop of purple plants,purple harvest
map bosses are accompanied by a mysterious harbinger map bosses drop additional currency shards harbingers in your maps drop additional currency shards,contain mysterious harbinger
your maps contain niko,contain niko
your maps contain 8 additional packs of corrupted vaal monsters your maps have a 50% chance to contain gifts of the sacrificed per sacrifice fragment used your maps have a 50% chance to contain gifts of the red queen per mortal fragment used,gifts of the red queen
your maps contain the sacred grove,contain sacred grove
final map boss in each map drops an additional shaper guardian map (tier 14+) map bosses have 200% more life map bosses deal 100% more damage,boss drops shaper guardian map
players and monsters take 14% increased fire damage your maps contain 8 additional packs of monsters that deal fire damage,additional fire packs
final map boss in each map drops an additional conqueror map map bosses have 200% more life map bosses deal 100% more damage,boss drops conqueror map
lifeforce dropped by harvest monsters in your maps is duplicated harvest monsters in your maps have 100% more life harvests in your maps contain at least one crop of yellow plants,yellow harvest
delirium reward bars fill 100% faster in your maps,delirium bar fills 100% faster
your magic maps contain 5 additional packs of magic monsters your normal maps contain 5 additional packs of normal monsters your rare maps contain 5 additional rare monster packs,additional 5 packs by rarity
slaying enemies close together can attract monsters from beyond this realm 35% increased beyond demon pack size in your maps,contain 35% beyond
your maps contain 100% increased number of runic monster markers,runic monster markers
final map boss in each map drops an additional conqueror map map bosses have 200% more life map bosses deal 100% more damage,boss drops conqueror map
the first 3 possessed monsters drop an additional winged scarab your maps contain an additional tormented betrayer,winged scarab from possessed
create a copy of beasts captured in your maps,beasts duplicated
your maps contain an additional resonating shrine 50% increased duration of shrine effects on players in your maps,resonating shrine
lifeforce dropped by harvest monsters in your maps is duplicated harvest monsters in your maps have 100% more life harvests in your maps contain at least one crop of blue plants,blue harvest
players' vaal skills do not apply soul gain prevention your maps contain 8 additional packs of corrupted vaal monsters,avoid soul gain prevention
final map boss in each map drops an additional elder guardian map (tier 14+) map bosses have 200% more life map bosses deal 100% more damage,boss drops elder guardian map
maps found in your maps are corrupted with 8 modifiers,corrupted maps drop with 8 mods
players and monsters take 14% increased lightning damage your maps contain 8 additional packs of monsters that deal lightning damage,additional lightning packs
lifeforce dropped by harvest monsters in your maps is duplicated harvest monsters in your maps have 100% more life harvests in your maps contain at least one crop of yellow plants,yellow harvest
your maps contain 35 additional clusters of mysterious barrels,mysterious barrels
your maps contain 3 additional strongboxes strongboxes in your maps are corrupted strongboxes in your maps are at least rare,additional 3 corrupted strongboxes
monsters imprisoned by essences have a 50% chance to contain a remnant of corruption your maps contain 2 additional essences,remnant of corruption 2 essence
your maps contain 3 additional strongboxes strongboxes in your maps are corrupted strongboxes in your maps are at least rare,additional 3 corrupted strongboxes
your maps can contain breaches your maps contain 2 additional breaches,contain 2 breaches
25% increased pack size in your unidentified maps,unidentified 25% pack size
your maps contain 2 additional abysses your maps can contain abysses,contain 2 abyss
your maps are inhabited by an additional invasion boss,contain invasion boss
30% increased magic pack size,magic 30% pack size
the first 3 possessed monsters drop an additional winged scarab your maps contain an additional tormented betrayer,winged scarab from possessed
strongbox monsters are enraged strongbox monsters have 600% increased item quantity your maps contain an additional strongbox,enraged strongboxes
player's life and mana recovery from flasks are instant your maps contain 8 additional packs of monsters that heal,additional heal 8 packs
your maps contain an additional shrine your maps contain an additional gloom shrine 50% increased duration of shrine effects on players in your maps,gloom shire
monsters imprisoned by essences have a 50% chance to contain a remnant of corruption your maps contain 2 additional essences,remnant of corruption 2 essence
slaying enemies close together can attract monsters from beyond this realm 25% increased beyond demon pack size in your maps,contain 25% beyond
your magic maps contain 5 additional packs of magic monsters your normal maps contain 5 additional packs of normal monsters your rare maps contain 5 additional rare monster packs,additional 5 packs by rarity
your maps contain an additional shrine your maps contain an additional resonating shrine 50% increased duration of shrine effects on players in your maps,resonating shrine